"ID"|"GRP"|"GNDR"|"PGM"|"YR"|"MO"|"age"|"dt"|"ind1"|"ind2"
1|"GRP3"|"M"|"PGM2"|2013|5|42|2013-05-01|2127.28|9.64
1|"GRP3"|"M"|"PGM2"|2013|6|42|2013-06-01|1928.7|7.74
1|"GRP3"|"M"|"PGM2"|2013|7|42|2013-07-01|1300.78|8.88
1|"GRP3"|"M"|"PGM2"|2013|8|42|2013-08-01|654.56|10.65
1|"GRP3"|"M"|"PGM2"|2013|9|42|2013-09-01|270.22|9.53
1|"GRP3"|"M"|"PGM2"|2013|10|42|2013-10-01|96.99|10.03
1|"GRP3"|"M"|"PGM2"|2013|11|42|2013-11-01|27.21|13.93
1|"GRP2"|"M"|"PGM2"|2013|12|42|2013-12-01|0.02|12.34
2|"GRP1"|"M"|"PGM1"|2010|12|40|2010-12-01|0|6.13
2|"GRP1"|"M"|"PGM1"|2011|1|41|2011-01-01|0|4.88
2|"GRP1"|"M"|"PGM1"|2011|2|41|2011-02-01|0|5.31
2|"GRP1"|"M"|"PGM1"|2011|3|41|2011-03-01|0|6.11
2|"GRP3"|"M"|"PGM1"|2011|4|41|2011-04-01|1861.65|6.17
2|"GRP3"|"M"|"PGM1"|2011|5|41|2011-05-01|2074.57|4.02
2|"GRP3"|"M"|"PGM1"|2011|6|41|2011-06-01|1880.91|4.82
2|"GRP3"|"M"|"PGM1"|2011|7|41|2011-07-01|1268.55|5.28
2|"GRP3"|"M"|"PGM1"|2011|8|41|2011-08-01|638.34|4.38
2|"GRP3"|"M"|"PGM1"|2011|9|41|2011-09-01|263.53|5.69
2|"GRP3"|"M"|"PGM1"|2011|10|41|2011-10-01|94.58|4.77
2|"GRP3"|"M"|"PGM1"|2011|11|41|2011-11-01|26.54|5.31
2|"GRP3"|"M"|"PGM1"|2011|12|41|2011-12-01|0.05|5.51
2|"GRP3"|"M"|"PGM1"|2012|1|42|2012-01-01|507.02|5.06
2|"GRP3"|"M"|"PGM1"|2012|2|42|2012-02-01|1009.1|6.14
2|"GRP3"|"M"|"PGM1"|2012|3|42|2012-03-01|1491.99|5.9
2|"GRP3"|"M"|"PGM1"|2012|4|42|2012-04-01|1908|5.58
2|"GRP3"|"M"|"PGM1"|2012|5|42|2012-05-01|2126.22|4.17
2|"GRP3"|"M"|"PGM1"|2012|6|42|2012-06-01|1927.74|4.75
2|"GRP3"|"M"|"PGM1"|2012|7|42|2012-07-01|1300.14|5.42
3|"GRP2"|"F"|"PGM2"|2012|4|32|2012-04-01|969.14|13.12
3|"GRP2"|"F"|"PGM2"|2012|5|32|2012-05-01|1079.99|25.71
3|"GRP2"|"F"|"PGM2"|2012|6|32|2012-06-01|979.17|29.22
3|"GRP2"|"F"|"PGM2"|2012|7|32|2012-07-01|660.39|8.98
4|"GRP3"|"F"|"PGM2"|2013|4|20|2013-04-01|1818.05|19.09
4|"GRP3"|"F"|"PGM2"|2013|5|20|2013-05-01|2025.98|16.99
