"V1"|"V2"|"V3"|"V4"|"V5"|"ID"|"grp"|"YrStarted"|"Q16_1"|"Q16_2"|"Q16_3"|"Q16_4"|"Q16_5"|"Q16_6"|"Q16_7"|"Q16_8"|"Q18_1"|"Q18_2"|"Q18_3"|"Q18_4"|"Q18_5"|"Q18_6"|"Q18_7"|"Q18_8"
"Update: After getting a response from the developer I would change my rating to 0 stars if possible. These guys hide behind confusing and opaque terms and refuse to budge at all. I'm so annoyed that my money has been lost to them! Really terrible customer experience. Original: Be very careful when signing up for a free trial of this app. If you happen to go over they automatically charge you for a full years subscription and refuse to refund. Terrible customer experience and the app is just OK."|"Disappointed, cant plan the same task over multiple days. Manually adding same task to repeat each day is a downside. Uninstalled."|"It doesn't sync up with Google Tasks. Not worth the change. Zapier does not work for Android. Zapier only works if you pay the Premium fee plus it only gives the option to add new tasks and complete tasks when integrating with Google Tasks. It does not import current tasks previously created in Google Tasks. There is no way to transfer my 144 tasks from Google to Anydo. And I can't afford $72.00 right off the bat to do it."|"Decent but a pain in bums. To have an alarm go out every morning at 9:00 am just to remind you to plan your day is out right stupid. I'm not mental pigmy. I can do things for myself."|"I love the concept of the app I'm just not digging the functionality. Trying to set a custom date and time is a complete pain in the you know what. Every time I select pm it's stays at am. I have to do it multiple times before it catches. Same issue with the clock. I try to rotate the dial to select an hour and it hangs and throws me over to minutes. I go back to hours and it does the same thing. I finally just gave up. Back to the old string around the finger. ☹️"|1|"Business Operations"|"2014"|NA|"5"|"5"|"4"|NA|"7"|"1"|"8"|"2"|"1"|"7"|"6"|"6"|"3"|"2"|"6"
"Used it for a fair amount of time without any problems. Suddenly then asked me to create an account or log using Google or FB. I used my Google one only to discover everything was gone!"|"Ok"|"NEW: Great concept but NOT for confidential data because it's not encrypted (nor PW protected on phone or PC) and, one day, Any.Do company will get hacked & ALL your stuff be be out there, like EquiFax. RESOLVED: App loses your work. eg: I created a new task, started a \"notes\" section, pasted it in some material and clicked save. Then I went to another app to get more material but when I returned to any.do, my notes were GONE!. Your \"save\" button is fraudulent if it does not save when clicked!"|"You reaaallllyyy don't have a lot without paying"|"The free app works well but pops up with annoying notifications every now and then to remind you to set more reminders... Kind of pointless. I'm also not a fan of the subscription model for premium. The layout and app itself is good though so it's a shame about those negatives. I would have considered buying if there was a one-time payment model."|2|"Technical and Scientific"|"2013"|"8"|"1"|"1"|"1"|"3"|"4"|NA|"7"|"5"|"4"|"4"|"5"|"6"|"7"|"2"|"7"
"Your app sucks now!!!!! Used to be good but now doesn't update until I physically open it up and then close it then scroll and then it finally shows what I want to put on the list!!!!!! And I FRIGGEN paid for this garbage!!!!!!!"|"Update: After getting a response from the developer I would change my rating to 0 stars if possible. These guys hide behind confusing and opaque terms and refuse to budge at all. I'm so annoyed that my money has been lost to them! Really terrible customer experience. Original: Be very careful when signing up for a free trial of this app. If you happen to go over they automatically charge you for a full years subscription and refuse to refund. Terrible customer experience and the app is just OK."|"List feature sucks! I don't need to manage myself so I can't speak to that functionality. I just wanted a list app, preferably one that worked with Google Assistant. Although that feature works great, the list feature kind of sucks. In an attempt to look new and edgy, the user experience went down the drain. I found it clunky & irritating. I shouldn't have to add a new item to the grocery list just to be able to uncheck items I need again. And that's just one of many irritations. AnyList baby!"|"Can't add more than 5 task to calendar without monthly fee."|"The app is OK but it could be much better in terms of usability. For example: 1. When setting a new reminder, the first button (which you are most likely to press without thinking) should be 'set timer', not 'share the task'. More people will want to set a reminder than share a person note. 2. The 'focus' button when the reminder comes up is in the prime location for when you are typing/using your phone and leads to you accidentally cancelling reminders each time."|3|"Business Operations"|"2015"|"8"|"8"|"4"|"2"|"5"|"2"|"8"|"3"|"8"|"8"|"1"|"7"|"5"|"7"|"5"|"1"
"It seems OK, but very basic. Recurring tasks need some work to be actually useful. For example, it would be nice to be able to set a task to be recurring on the first of every month, without only being able to set that up on the first of the month. Edit; I also just noticed that there is no dark theme. Both may be available as paid for options, but I'll never know, since they are basic options and without them, I have no reason to try this app, and thus will never pay for actual premium options."|"Can't get it to finish installing and I have plenty if room. Gets to 97% and then stops. I will revise my review if I ever get to try it!"|"Is there no way to assign a specific color to an event? I like to group my meetings by color. If I can't do that, the app isn't useful for me."|"The design is nice but it doesn't understand when I said 'later'. When I said remind me tomorrow morning, it replied okay I'll be reminded tomorrow at 16:00+. That's afternoon. I'll be very well roasted by my boss by then. Can't find any help on these issues. Was close to confirming my subscription. Sad ☹️"|"Happy with the App...but personally I had two issues which are if addressed, may provide sort of convienience to the users. 1. If any task is not completed and deleted by mistake it can't be undone that I felt inconvenient to write the task again. 2. If any task is being feeded and there also undo/redo options are not available"|4|"Technical and Scientific"|"2012"|"6"|"2"|"6"|"1"|"4"|"6"|"2"|"7"|"3"|"7"|"8"|"6"|"5"|"6"|"2"|"5"
"Absolutely worthless. This app runs a prohibitively clunky interface that effectively voids the promise of ease-of-life automation. Google Calendar will provide all other services promised by Any do for free with no annual subscription rate. Don't sign up for the free trial. It's not worth getting pinged for forty bucks when you decide you don't like it and forget to cancel it in time. Save your money!"|"Stop charging people for things that are simple. Just use OneNote. Buy a great planner on Amazon, copy the template and save your money."|"Hi Developer. Need to improve note module. It fix only for protrait view, which is when I'm using landscape view (tablet with keyboard), I need to adjust my head or the gadget. TQ"|"Premium version only"|"This apps not suitable for my needs. The reminder keep show every day, even the task mark as 'Done' (everyday I do click 'Done' at reminder, the next day, and next day, and next day, the reminder still come up). The logic for the apps does not make sense for me (I'm not a paid subscribber)."|5|"Technical and Scientific"|"2017"|"1"|"7"|"6"|"4"|"8"|"3"|"8"|"8"|"7"|"3"|"2"|"7"|"5"|"5"|"4"|"3"
"BEWARE the trial period is a scam I've been using the free version for a while and decided to try the premium for 7 days per the trial ad. After 5 days I realized it didn't quite organize my information how I best work so I wrote to cancel. They informed me that I must have accidentally signed up for a non trial and by their strict Terms cannot refund me. So I wrote back nicely that my intention was to try it per the Ad, but they said it's not possible. Really?"|"Used it for a fair amount of time without any problems. Suddenly then asked me to create an account or log using Google or FB. I used my Google one only to discover everything was gone!"|"It used to be a slick, minimal app that did what it needed to. Then they kept adding layers of unneeded features and forced people to make an account just to use it. No thanks."|"Is there no way to assign a specific color to an event? I like to group my meetings by color. If I can't do that, the app isn't useful for me."|"Everything is good. My only issue is that it doesn't send the message to you the exact moment you assigned it. Eg. I set a reminder at 8pm. The BOT only WhatsApped me 15mins later. Other than this, everything else is good. Love the feature of a WhatsApp reminder BOT. Improve on this area and you'll earn 1 more loyal customer"|6|"Business Operations"|"2017"|"2"|NA|"3"|"5"|"4"|"8"|"1"|"2"|"5"|"1"|"5"|"3"|"7"|"8"|"4"|"8"
"DON'T BUY PREMIUM! You have to pay for an entire year upfront. And If you change your mind about the app, like I did, due to its odd inconsistent behavior with reaccuring tasks and reminders. You're given 48 hours after the 7 day trial to qualify for a refund. After that you're screwed. All most all of the issues started happening after that period ended. They obviously know they have problems with the app, just read their robotic responses to issues. ANY.DO HIDES BEHIND TOS INSTEAD OF HELPING"|"Pay"|"Themes and location based reminders are under subscription. Both are free on most of apps like this. Thanks but no. I'll pass and keep using Google keep"|"Trying to set a reoccuring event changes the date to one day before what I set it as. Trying to change the date back just creates a second event. Then trying to delete both events takes several tries, because half the time they don't actually delete. This is really annoying."|"I was noticed that my phone memory is low and when I was checking which apps I can move to external memory=SD card I found that I can't install/move your app to the phone's SD card and use it from it, but only on and from phone's internal memory. As I see that is not an issue by many other apps with similar features and requirements so I suggest you to make this possible."|7|"Business Operations"|"2014"|"6"|"6"|"8"|NA|"6"|"4"|"4"|"6"|"1"|"4"|"6"|"7"|"4"|"7"|"6"|"8"
"This could be an awesome app. It has great potential except for a few flaws that end up making it a super irritating app. I have reported these issues to the app's tech support several times only to get lame responses with no resolutions. The latest being that when items are entered into a category in this app, the app for some reason resorts the sequence of items in my list automatically. I put these items in the list in a certain order for a reason. I have other issues, but no moreroomher"|"Useless it keeps erasing everything you have to dominate the app! It should be easy"|"It's a fine app but logs me out every other time I go to use it."|"Weak and underdeveloped platform. Don't expect support to treat you like a person - this is a company that just wants your money and then to forget about you."|"The tasks completed are no longer shown on the date itself, which made us hard to trace back what were the activities done on that particular day Add on review: thanks for the reply. But when I check on my calendar, completed tasks are no longer shown. I'm not sure we are on the same page. Yes They are still on the task list but no longer in calendar"|8|"Business Operations"|"2017"|"7"|"3"|"1"|"4"|"5"|"1"|"8"|"7"|"4"|"2"|"7"|"5"|"1"|"3"|"4"|"1"
"The app felt good enough for me to buy the yearly subscription, which I did and paid th 15€ it requested. But a week later they charged me 17 more euros to my credit card for the same subscription and the same features so I basically paid 32€ . THAT is a scam and unless I get my 17€ euros back I'm gonna keep the rating at one star."|"This app is bur futti randi chodari"|"No monthly recurring reminder features. Can't even remind me when to pay the bills!"|"Recurring tasks are very glitchy - they sometimes change the day or time when they recur. Per any.do's request i sent them a video of this happening... crickets. No explanation or acknowledgement and no refund as i requested. Fine otherwise, but i rely on recurring items."|"Great app BUT it takes away access to your data after a while unless you grant full access to email addresses/google acct/ everything. Fair enough request, but not by holding data to ransom. Either that or its been compromised by malware, but I don't think so"|9|"Business Operations"|"2014"|"4"|"3"|"3"|"8"|"1"|"3"|"4"|"2"|"8"|"4"|"5"|"1"|"3"|NA|"8"|"2"
"I downloaded it and login with Google I never did anything just logged in with Google. It has asking me many time for auto debit for subscription so I uninstalled it. But still 5 min before Rs 909 debited from my account. This is the muging of money. I want refund my money in my account. Kindly"|"No custom notification sounds??? Really?"|"Cant really set custom remindere. For example I need to be able to check a specific system every 3 hours with other variables.. Cant do it"|"Missing grocery list widget and quantity for grocery list items!!!"|"Great To Do list. The only issue is location based reminders seem to be sporadic. Also annoying that you can't set all day tasks, hopefully an update soon. No resolution and tech support slow, a shame."|10|"Technical and Scientific"|"2016"|"1"|"6"|"6"|"2"|"8"|"3"|"3"|"5"|"8"|"4"|"4"|"6"|"7"|"3"|"3"|"1"
"This App is useless , it works as a notepad with your tasks in it , it does not notify you of tasks you suppose to do. When the time reaches it's silent doesn't pop up even though settings have permitted it to pop up and alert , even a simple alarm clock notified me of what to do .This app Doesn't work ."|"Your app sucks now!!!!! Used to be good but now doesn't update until I physically open it up and then close it then scroll and then it finally shows what I want to put on the list!!!!!! And I FRIGGEN paid for this garbage!!!!!!!"|"Missing grocery list widget and quantity for grocery list items!!!"|"It doesn't sync up with Google Tasks. Not worth the change. Zapier does not work for Android. Zapier only works if you pay the Premium fee plus it only gives the option to add new tasks and complete tasks when integrating with Google Tasks. It does not import current tasks previously created in Google Tasks. There is no way to transfer my 144 tasks from Google to Anydo. And I can't afford $72.00 right off the bat to do it."|"I'm shocked there isn't a free trial period for this app. All the things that I'm looking for are premium features and aren't unlocked without a subscription. As a rule I do not subscribe to anything unless I am confident it will add value. A trial would help me make that assessment."|11|"Technical and Scientific"|"2013"|"3"|"8"|"6"|"2"|"2"|"5"|"1"|"5"|"1"|"5"|"4"|"6"|"6"|"8"|"1"|"1"
"Really disappointed to find recurring tasks functionality is only available with the paid version. Would not recommend. Also it doesn't sort tasks by date and time properly."|"delete"|"Day 2 of trialling this. So far I've had two location reminders fail, I can't label a location with more than one letter, the only time based reminder that's fired did so while on a phone call so I don't know what it sounds like, not that I can change the sound anyway because the instructions don't work. I had no idea what the buttons meant so the first one tapped the task got snoozed for 28 hours. How is that a typical snooze length? Adding anything more than a basic list item is not intuitive"|NA|"How do i disable voice note? Everytime i need to write something in todo list, a google voice popup came out. Its ridicolous, stupid and annoying. I couldnt find the disable option in setting."|12|"Technical and Scientific"|"2011"|"3"|"7"|"2"|"3"|"2"|"5"|"6"|"1"|"5"|"1"|"4"|"6"|"6"|NA|"8"|"7"
